"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo","ZA.EC.AN",NA,"DC44","District Municipality","District Municipality","",""
2,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole","ZA.EC.AT",NA,"DC12","District Municipality","District Municipality","",""
3,211,"ZAF","South Africa",1,"Eastern Cape",3,"Buffalo City","",NA,"BUF","District Municipality","District Municipality","",""
4,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu","ZA.EC.CC",NA,"DC10","District Municipality","District Municipality","",""
5,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani","ZA.EC.CH",NA,"DC13","District Municipality","District Municipality","",""
6,211,"ZAF","South Africa",1,"Eastern Cape",6,"Joe Gqabi","ZA.EC.UH",NA,"DC14","District Municipality","District Municipality","",""
7,211,"ZAF","South Africa",1,"Eastern Cape",7,"Nelson Mandela Bay","ZA.EC.NM",NA,"NMA","District Municipality","District Municipality","",""
8,211,"ZAF","South Africa",1,"Eastern Cape",8,"O.R.Tambo","ZA.EC.TA",NA,"DC15","District Municipality","District Municipality","",""
9,211,"ZAF","South Africa",2,"Free State",9,"Fezile Dabi","ZA.FS.FD",NA,"DC20","District Municipality","District Municipality","",""
10,211,"ZAF","South Africa",2,"Free State",10,"Lejweleputswa","ZA.FS.LE",NA,"DC18","District Municipality","District Municipality","",""
11,211,"ZAF","South Africa",2,"Free State",11,"Mangaung","ZA.FS.MT",NA,"MAN","District Municipality","District Municipality","","Matheo"
12,211,"ZAF","South Africa",2,"Free State",12,"Thabo Mofutsanyane","ZA.FS.TM",NA,"DC19","District Municipality","District Municipality","",""
13,211,"ZAF","South Africa",2,"Free State",13,"Xhariep","ZA.FS.XH",NA,"DC16","District Municipality","District Municipality","",""
14,211,"ZAF","South Africa",3,"Gauteng",14,"City of Johannesburg","ZA.GT.JO",NA,"JHB","District Municipality","District Municipality","",""
15,211,"ZAF","South Africa",3,"Gauteng",15,"City of Tshwane","ZA.GT.TS",NA,"TSH","District Municipality","District Municipality","",""
16,211,"ZAF","South Africa",3,"Gauteng",16,"Ekurhuleni","ZA.GT.EK",NA,"EKU","District Municipality","District Municipality","",""
17,211,"ZAF","South Africa",3,"Gauteng",17,"Sedibeng","ZA.GT.SE",NA,"DC42","District Municipality","District Municipality","",""
18,211,"ZAF","South Africa",3,"Gauteng",18,"West Rand","ZA.GT.WR",NA,"DC48","District Municipality","District Municipality","",""
19,211,"ZAF","South Africa",4,"KwaZulu-Natal",19,"Amajuba","ZA.NL.AJ",NA,"DC25","District Municipality","District Municipality","",""
20,211,"ZAF","South Africa",4,"KwaZulu-Natal",20,"eThekwini","ZA.NL.ET",NA,"ETH","District Municipality","District Municipality","",""
21,211,"ZAF","South Africa",4,"KwaZulu-Natal",21,"iLembe","ZA.NL.IL",NA,"DC29","District Municipality","District Municipality","",""
22,211,"ZAF","South Africa",4,"KwaZulu-Natal",22,"Sisonke","ZA.NL.SS",NA,"DC43","District Municipality","District Municipality","",""
23,211,"ZAF","South Africa",4,"KwaZulu-Natal",23,"Ugu","ZA.NL.UG",NA,"DC21","District Municipality","District Municipality","",""
24,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu","ZA.NL.UV",NA,"DC22","District Municipality","District Municipality","",""
25,211,"ZAF","South Africa",4,"KwaZulu-Natal",25,"Umkhanyakude","ZA.NL.UY",NA,"DC27","District Municipality","District Municipality","",""
26,211,"ZAF","South Africa",4,"KwaZulu-Natal",26,"Umzinyathi","ZA.NL.UZ",NA,"DC24","District Municipality","District Municipality","",""
27,211,"ZAF","South Africa",4,"KwaZulu-Natal",27,"Uthukela","ZA.NL.UL",NA,"DC23","District Municipality","District Municipality","",""
28,211,"ZAF","South Africa",4,"KwaZulu-Natal",28,"Uthungulu","ZA.NL.UT",NA,"DC28","District Municipality","District Municipality","",""
29,211,"ZAF","South Africa",4,"KwaZulu-Natal",29,"Zululand","ZA.NL.ZU",NA,"DC26","District Municipality","District Municipality","",""
30,211,"ZAF","South Africa",5,"Limpopo",30,"Capricorn","ZA.NP.CP",NA,"DC35","District Municipality","District Municipality","",""
31,211,"ZAF","South Africa",5,"Limpopo",31,"Mopani","ZA.NP.MP",NA,"DC33","District Municipality","District Municipality","",""
32,211,"ZAF","South Africa",5,"Limpopo",32,"Sekhukhune","ZA.MP.SK",NA,"DC47","District Municipality","District Municipality","",""
33,211,"ZAF","South Africa",5,"Limpopo",33,"Vhembe","ZA.NP.VH",NA,"DC34","District Municipality","District Municipality","",""
34,211,"ZAF","South Africa",5,"Limpopo",34,"Waterberg","ZA.NP.WA",NA,"DC36","District Municipality","District Municipality","",""
35,211,"ZAF","South Africa",6,"Mpumalanga",35,"Ehlanzeni","ZA.MP.EH",NA,"DC32","District Municipality","District Municipality","",""
36,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande","ZA.MP.GS",NA,"DC30","District Municipality","District Municipality","",""
37,211,"ZAF","South Africa",6,"Mpumalanga",37,"Nkangala","ZA.MP.NK",NA,"DC31","District Municipality","District Municipality","",""
