"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",NA,"EC441","Local Municipality","Local Municipality","",""
2,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",2,"Mbizana",NA,"EC443","Local Municipality","Local Municipality","",""
3,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",3,"Ntabankulu",NA,"EC444","Local Municipality","Local Municipality","",""
4,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",4,"Umzimvubu",NA,"EC442","Local Municipality","Local Municipality","",""
5,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",NA,"EC124","Local Municipality","Local Municipality","",""
6,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",NA,"EC123","Local Municipality","Local Municipality","",""
7,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",NA,"EC121","Local Municipality","Local Municipality","",""
8,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",NA,"EC122","Local Municipality","Local Municipality","",""
9,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",NA,"EC126","Local Municipality","Local Municipality","",""
10,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",10,"Nkonkobe",NA,"EC127","Local Municipality","Local Municipality","",""
11,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",11,"Nxuba",NA,"EC128","Local Municipality","Local Municipality","",""
12,211,"ZAF","South Africa",1,"Eastern Cape",3,"Buffalo City",12,"Buffalo City",NA,"BUF","Metropolitan Municipality","Metropolitan Municipality","",""
13,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",13,"Baviaans",NA,"EC107","Local Municipality","Local Municipality","",""
14,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",14,"Blue Crane Route",NA,"EC102","Local Municipality","Local Municipality","",""
15,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",15,"Camdeboo",NA,"EC101","Local Municipality","Local Municipality","",""
16,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",16,"Ikwezi",NA,"EC103","Local Municipality","Local Municipality","",""
17,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",17,"Kou-Kamma",NA,"EC109","Local Municipality","Local Municipality","",""
18,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",18,"Kouga",NA,"EC108","Local Municipality","Local Municipality","",""
19,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",19,"Makana",NA,"EC104","Local Municipality","Local Municipality","",""
20,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",20,"Ndlambe",NA,"EC105","Local Municipality","Local Municipality","",""
21,211,"ZAF","South Africa",1,"Eastern Cape",4,"Cacadu",21,"Sundays River Valley",NA,"EC106","Local Municipality","Local Municipality","",""
22,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani",22,"Emalahleni",NA,"EC136","Local Municipality","Local Municipality","",""
23,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani",23,"Engcobo",NA,"EC137","Local Municipality","Local Municipality","",""
24,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani",24,"Inkwanca",NA,"EC133","Local Municipality","Local Municipality","",""
25,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani",25,"Intsika Yethu",NA,"EC135","Local Municipality","Local Municipality","",""
26,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani",26,"Inxuba Yethemba",NA,"EC131","Local Municipality","Local Municipality","",""
27,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani",27,"Lukanji",NA,"EC134","Local Municipality","Local Municipality","",""
28,211,"ZAF","South Africa",1,"Eastern Cape",5,"Chris Hani",28,"Sakhisizwe",NA,"EC138","Local Municipality","Local Municipality","",""
