"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
1,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",1,"10","",24401010,"","Ward","Ward"
2,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",2,"11","",24401011,"","Ward","Ward"
3,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",3,"12","",24401012,"","Ward","Ward"
4,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",4,"13","",24401013,"","Ward","Ward"
5,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",5,"14","",24401014,"","Ward","Ward"
6,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",6,"15","",24401015,"","Ward","Ward"
7,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",7,"16","",24401016,"","Ward","Ward"
8,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",8,"17","",24401017,"","Ward","Ward"
9,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",9,"18","",24401018,"","Ward","Ward"
10,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",10,"19","",24401019,"","Ward","Ward"
11,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",11,"1","",24401001,"","Ward","Ward"
12,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",12,"20","",24401020,"","Ward","Ward"
13,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",13,"21","",24401021,"","Ward","Ward"
14,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",14,"22","",24401022,"","Ward","Ward"
15,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",15,"23","",24401023,"","Ward","Ward"
16,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",16,"24","",24401024,"","Ward","Ward"
17,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",17,"25","",24401025,"","Ward","Ward"
18,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",18,"26","",24401026,"","Ward","Ward"
19,211,"ZAF","South Africa",1,"Eastern Cape",1,"Alfred Nzo",1,"Matatiele",19,"2","",24401002,"","Ward","Ward"
