"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,107,"IRN","Iran",1,"Alborz","IR.AL",NA,"","Ostan","Province","<U+0627><U+0633><U+062A><U+0627><U+0646> <U+0627><U+0644><U+0628><U+0631><U+0632>",""
2,107,"IRN","Iran",2,"Ardebil","IR.AR",NA,"","Ostan","Province","","Ardabil"
3,107,"IRN","Iran",3,"Bushehr","IR.BS",NA,"","Ostan","Province","","Banader va Jazayer-e Khalij-e Fars|Bushire|Persian Gulf|Ports and Islands of the Persian Gulf"
4,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari","IR.CM",NA,"","Ostan","Province","","Bakhtiari|Chaharmahal va Bakhtiyari|Charmahal-Bakhtiyari"
5,107,"IRN","Iran",5,"East Azarbaijan","IR.EA",NA,"","Ostan","Province","","Azarbayjan-e Khavari|Azarbaijan-e Sharghi|Azarbaijan-Sharqi|East Azarbayejan|Azerba‹djan e Sharqi"
6,107,"IRN","Iran",6,"Esfahan","IR.ES",NA,"","Ostan","Province","","Isfahan|Ispahan"
7,107,"IRN","Iran",7,"Fars","IR.FA",NA,"","Ostan","Province","",""
8,107,"IRN","Iran",8,"Gilan","IR.GI",NA,"","Ostan","Province","",""
9,107,"IRN","Iran",9,"Golestan","IR.GO",NA,"","Ostan","Province","",""
10,107,"IRN","Iran",10,"Hamadan","IR.HD",NA,"","Ostan","Province","","Hamedan"
11,107,"IRN","Iran",11,"Hormozgan","IR.HG",NA,"","Ostan","Province","","Banader va Jazayer-e Bahr-e Oman|Ports and Islands of the Sea of Oman|Saheli"
12,107,"IRN","Iran",12,"Ilam","IR.IL",NA,"","Ostan","Province","","Ilam and Poshtkuh"
13,107,"IRN","Iran",13,"Kerman","IR.KE",NA,"","Ostan","Province","",""
14,107,"IRN","Iran",14,"Kermanshah","IR.BK",NA,"","Ostan","Province","","Bakhtaran|Kermanshahan"
15,107,"IRN","Iran",15,"Khuzestan","IR.KZ",NA,"","Ostan","Province","","Khuzistan|Kouzistan"
16,107,"IRN","Iran",16,"Kohgiluyeh and Buyer Ahmad","IR.KB",NA,"","Ostan","Province","","Bovir Ahmadi and Kohkiluyeh|Boyer-Ahmad and Koh-Giluye|Boyer Ahmad e Kohkiluyeh|Boyer Ahmadi-ye Sardir va Kohkiluyeh|Kohgil"
17,107,"IRN","Iran",17,"Kordestan","IR.KD",NA,"","Ostan","Province","","Kurdistan"
18,107,"IRN","Iran",18,"Lorestan","IR.LO",NA,"","Ostan","Province","",""
19,107,"IRN","Iran",19,"Markazi","IR.MK",NA,"","Ostan","Province","",""
20,107,"IRN","Iran",20,"Mazandaran","IR.MN",NA,"","Ostan","Province","",""
21,107,"IRN","Iran",21,"North Khorasan","IR.KS",NA,"","Ostan","Province","","Khorasan-e Shemali"
22,107,"IRN","Iran",22,"Qazvin","IR.QZ",NA,"","Ostan","Province","",""
23,107,"IRN","Iran",23,"Qom","IR.QM",NA,"","Ostan","Province","",""
24,107,"IRN","Iran",24,"Razavi Khorasan","IR.KV",NA,"","Ostan","Province","","Khorasan-e Razavi"
25,107,"IRN","Iran",25,"Semnan","IR.SM",NA,"","Ostan","Province","",""
26,107,"IRN","Iran",26,"Sistan and Baluchestan","IR.SB",NA,"","Ostan","Province","","Baluchestan va Sistan|Seistan and Baluchistan|Sistan e Baloutchistan"
27,107,"IRN","Iran",27,"South Khorasan","IR.KJ",NA,"","Ostan","Province","","Khorasan-e Janubi"
28,107,"IRN","Iran",28,"Tehran","IR.TH",NA,"","Ostan","Province","<U+0627><U+0633><U+062A><U+0627><U+0646> <U+062A><U+0647><U+0631><U+0627><U+0646>","Teheran"
29,107,"IRN","Iran",29,"West Azarbaijan","IR.WA",NA,"","Ostan","Province","","Azarbayjan-e Bakhtari|Azarbaijan-e Gharbi|West Azarbayejan|Azerba‹djan e Gharbi"
30,107,"IRN","Iran",30,"Yazd","IR.YA",NA,"","Ostan","Province","",""
31,107,"IRN","Iran",31,"Zanjan","IR.ZA",NA,"","Ostan","Province","",""
